date,interface_name_as_reported,import_mu,month_cumulative_mu,source_daily_average_mu,classification,source_sha256
2024-04-05,400KV KOCHI+KOTTAYAM,15.004,82.744,16.5488,official_observed_reference,deb9194b1fd5ceb4519a99bc014b589eb5bf70acdf00a77241de99f73946c699
2024-04-05,400KV KOZHKOD,15.989,81.823,,official_observed_reference,deb9194b1fd5ceb4519a99bc014b589eb5bf70acdf00a77241de99f73946c699
2024-04-05,400KV NORTH TRSR,8.0766,39.8904,7.9781,official_observed_reference,deb9194b1fd5ceb4519a99bc014b589eb5bf70acdf00a77241de99f73946c699
2024-04-05,400KV TVM,9.574,49.409,,official_observed_reference,deb9194b1fd5ceb4519a99bc014b589eb5bf70acdf00a77241de99f73946c699
2024-04-05,220KV_KNPA+SBGR +PVUD+EDMN,7.8241,43.5652,8.713,official_observed_reference,deb9194b1fd5ceb4519a99bc014b589eb5bf70acdf00a77241de99f73946c699
2024-04-05,110KV_MJSM +PRSLA,0.8722,3.8994,,official_observed_reference,deb9194b1fd5ceb4519a99bc014b589eb5bf70acdf00a77241de99f73946c699
2024-04-06,400KV MDKA,12.495,71.578,11.9297,official_observed_reference,d31486119ebf50d355ff55ec14368de5db3dbaa09333599e58dcbdd96da0545b
2024-04-06,400KV PKKD,9.77,58.61,,official_observed_reference,d31486119ebf50d355ff55ec14368de5db3dbaa09333599e58dcbdd96da0545b
2024-04-06,400KV KOCHI+KOTTAYAM,17.137,99.881,16.6468,official_observed_reference,d31486119ebf50d355ff55ec14368de5db3dbaa09333599e58dcbdd96da0545b
2024-04-06,400KV KOZHKOD,16.437,98.26,,official_observed_reference,d31486119ebf50d355ff55ec14368de5db3dbaa09333599e58dcbdd96da0545b
2024-04-06,400KV NORTH TRSR,8.3161,48.2065,8.0344,official_observed_reference,d31486119ebf50d355ff55ec14368de5db3dbaa09333599e58dcbdd96da0545b
2024-04-06,400KV TVM,9.831,59.24,,official_observed_reference,d31486119ebf50d355ff55ec14368de5db3dbaa09333599e58dcbdd96da0545b
2024-04-06,220KV_KNPA+SBGR +PVUD+EDMN,8.5865,52.1517,8.6919,official_observed_reference,d31486119ebf50d355ff55ec14368de5db3dbaa09333599e58dcbdd96da0545b
2024-04-06,110KV_MJSM +PRSLA,0.9279,4.8272,,official_observed_reference,d31486119ebf50d355ff55ec14368de5db3dbaa09333599e58dcbdd96da0545b
2024-04-07,400KV MDKA,12.021,83.599,11.9427,official_observed_reference,8bdab967ef4db5a0cc3b92e3e5e84ebd738f62b5d03b291298152e8169ff64d0
2024-04-07,400KV PKKD,9.977,68.587,,official_observed_reference,8bdab967ef4db5a0cc3b92e3e5e84ebd738f62b5d03b291298152e8169ff64d0
2024-04-07,400KV KOCHI+KOTTAYAM,17.457,117.338,16.7626,official_observed_reference,8bdab967ef4db5a0cc3b92e3e5e84ebd738f62b5d03b291298152e8169ff64d0
